Place,Nearby Places
Visakhapatnam,"Bheemili, Anakapalle, Simhachalam, Araku, Vizianagaram"
Vijayawada,"Mangalagiri, Tenali, Kondapalli, Nuzvid, Machilipatnam"
Tirupati,"Renigunta, Chandragiri, Sri Kalahasti, Puttur, Chittoor"
Guntur,"Mangalagiri, Ponnur, Narasaraopet, Tenali, Sattenapalle"
Nellore,"Kavali, Gudur, Venkatagiri, Atmakur, Naidupeta"
Kurnool,"Adoni, Yemmiganur, Nandyal, Mantralayam, Dhone"
Rajahmundry,"Kakinada, Amalapuram, Mandapeta, Samarlakota, Ravulapalem"
Kadapa,"Pulivendula, Proddatur, Jammalamadugu, Badvel, Rayachoti"
Anantapur,"Hindupur, Dharmavaram, Puttaparthi, Tadipatri, Kadiri"
Srikakulam,"Palasa, Tekkali, Amadalavalasa, Ichchapuram, Sompeta"
